saludo|tipo|origen
Hola|Informal|España
Buenos días|Formal|México
Buenas tardes|Formal|Argentina
Qué tal|Informal|España
Buenas|Informal|Colombia
Buenas noches|Formal|Perú
¿Cómo estás?|Informal|Chile
¿Cómo le va?|Formal|Uruguay
Ey|Informal|Venezuela
Saludos cordiales|Formal|Ecuador
Qué onda|Informal|México
Buen día|Formal|Paraguay
¿Qué más?|Informal|Colombia
Estimado|Formal|Perú
¿Quiubo?|Informal|Colombia
Buenas noches tenga usted|Formal|Guatemala
Hola qué tal|Informal|España
Muy buenas|Formal|España
¿Qué hay?|Informal|España
Apreciado señor|Formal|Venezuela
¡Hey!|Informal|México
Distinguido|Formal|Bolivia
¿Qué cuentas?|Informal|Chile
Con el debido respeto|Formal|Nicaragua
¡Qué hubo!|Informal|Colombia
Hello|Informal|Estados Unidos
Good morning|Formal|Reino Unido
Hi|Informal|Australia
Greetings|Formal|Canadá
Hey|Informal|Estados Unidos
Bonjour|Formal|Francia
Salut|Informal|Francia
Bonsoir|Formal|Francia
Hallo|Informal|Alemania
Guten Morgen|Formal|Alemania
Ciao|Informal|Italia
Buongiorno|Formal|Italia
Konnichiwa|Formal|Japón
Ohayou|Informal|Japón
Ni hao|Formal|China
Zǎoshang hǎo|Formal|China
Annyeong|Informal|Corea del Sur
Annyeong haseyo|Formal|Corea del Sur
Shalom|Formal|Israel
Marhaba|Informal|Emiratos Árabes Unidos
As-salamu alaykum|Formal|Egipto
Habari|Informal|Kenia
Jambo|Informal|Tanzania
Namaste|Formal|India
Vanakkam|Formal|Sri Lanka
